time_of_day,week_of_year,day_of_year,continuous_timestamp,parent_directory,audio_file_name,default_classifier,start,end
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Ambient Sound,Ambient Sound/ambient_sound01.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Ambient Sound,Ambient Sound/ambient_sound02.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9313_full_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9313_full_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9313_full_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9313_full_0s_10_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9313_full_0s_11_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9314_full_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9314_full_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9314_full_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9314_full_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9314_full_0s_10_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9314_full_0s_12_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9314_full_0s_13_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_06_norm.wav,below_thresh,0.0,3.0
