audiofilename,start,end,label,predefined_set
Ambient Sound/ambient_sound01.wav,0.0,3.0,Ambient Sound,undefined
Ambient Sound/ambient_sound02.wav,0.0,3.0,Ambient Sound,undefined
Coal Tit/MNHN-SO-2016-9313_full_0s_01_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9313_full_0s_04_norm.wav,0.0,3.0,Coal Tit,val
Coal Tit/MNHN-SO-2016-9313_full_0s_05_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9313_full_0s_10_norm.wav,0.0,3.0,Coal Tit,test
Coal Tit/MNHN-SO-2016-9313_full_0s_11_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9314_full_0s_01_norm.wav,0.0,3.0,Coal Tit,test
Coal Tit/MNHN-SO-2016-9314_full_0s_04_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9314_full_0s_05_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9314_full_0s_06_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9314_full_0s_10_norm.wav,0.0,3.0,Coal Tit,test
Coal Tit/MNHN-SO-2016-9314_full_0s_12_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9314_full_0s_13_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9318_full_0s_03_norm.wav,0.0,3.0,Coal Tit,val
Coal Tit/MNHN-SO-2016-9318_full_0s_04_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9318_full_0s_05_norm.wav,0.0,3.0,Coal Tit,val
Coal Tit/MNHN-SO-2016-9318_full_0s_06_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9318_full_0s_07_norm.wav,0.0,3.0,Coal Tit,test
Coal Tit/MNHN-SO-2016-9318_full_0s_08_norm.wav,0.0,3.0,Coal Tit,val
Coal Tit/MNHN-SO-2016-9318_full_0s_10_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9318_full_0s_11_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9318_full_0s_12_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9318_full_0s_13_norm.wav,0.0,3.0,Coal Tit,test
Coal Tit/MNHN-SO-2016-9346_full_0s_00_norm.wav,0.0,3.0,Coal Tit,val
